职位名称,公司名称,位置,工资,职位链接
软件测试员,武汉飞猪,武汉·江夏区·关山,3-5K,https://www.zhipin.com/job_detail/e6ef5ad1af957a491HB72dW5EVRX.html?lid=4libl3EPBMj.search.1&securityId=T163s7NOtcVlI-e168tftL-8K73iclcTkC6wgH6mIF9UsoNKq0IugZJ_tW4OwdzSPkxyIat8WSbaWKZEZBOgaOy3qLL3Hrnc9Q6zXXnkas6De7QvNw~~&sessionId=
软件测试员,深圳第柒在线科技,武汉·江夏区·武汉东湖高新区,4-8K·13薪,https://www.zhipin.com/job_detail/1f07907412aab9f71HB60tm_GFZX.html?lid=4libl3EPBMj.search.2&securityId=gFElRt1xr0VA6-q1KUoVZGlrEasohcrHhF289ukeoK31HpIaQKYcMORQ7GIMoJGuMj81puZohyvD6F-f4lGmXMctaiwPmg75Yw2TyyMlQoOavAAxb0E~&sessionId=
软件测试 自动化方向 接受23届毕业生,华为,武汉,18-28K·14薪,https://www.zhipin.com/job_detail/b4e0e09e237b97521Hd-29W9FVpR.html?lid=4libl3EPBMj.search.3&securityId=FANZ2J4j-0OmF-F1bnhu3VwZSHjkA30zFk-WdNAgr1b3yjcwKy0UOhmUcgzDb3cn8_KGFaImI1C6Xv-mwJxYywdmroNOc2jrsdTBpoQzTPzPw7M~&sessionId=
软件测试,武汉瑞泰企创,武汉·东西湖区·常青,4-6K,https://www.zhipin.com/job_detail/314c48e55c1c0dae1HBz3tq1F1JX.html?lid=4libl3EPBMj.search.4&securityId=5o5ha7khyHZHN-R1b4vxXtyyy_Kbk50r0AGwRAlVq85DkVintyYkP4_gt0rUOcU2cSgojsySmrPY5qPtSmq_X9B7l3gGwWcEuuQdoCFQnNKJlOtzZfM~&sessionId=
软件测试,轻购云科技,武汉·江夏区·流芳,5-8K,https://www.zhipin.com/job_detail/c0ebd398d75d12941nZ90tS1GFVX.html?lid=4libl3EPBMj.search.5&securityId=9s_HhiLjcEzAr-y1nEbAz45oQzlFooeIHkAxGz-deQsGiP58hWTkl2Z76n7De11IwvG-2jZl03d1L-Rmrv-4Sc3Nnqyjfsg0PP-hhRsYoFaNGgva0-M~&sessionId=
软件测试,亿达信息,武汉·洪山区·光谷,10-13K,https://www.zhipin.com/job_detail/ace973ce91489de00X153dm1FlY~.html?lid=4libl3EPBMj.search.6&securityId=liVT5iey295LB-A1FQAhJlDxcfmIidJ8MLCWc0Lw_x7WiAIT2rB8yZjJ3gVcipd8jE5KjCR5tIzZGKE6CmLGc1gbPX6aftWO2G8e14DzlUWj3gY~&sessionId=
软件测试,光谷奥源,武汉·洪山区·光谷,4-8K,https://www.zhipin.com/job_detail/8866abcd1cf7756103x-3N24EQ~~.html?lid=4libl3EPBMj.search.7&securityId=py4mxDCxNol1x-A1bLrHz2tbsQTcSE1ekbyLW2o3VdCP7vt9Lu0QyR4TZiiQ3w62SUQ6vGYNVwNp3LHuP4tP98ujJoeBjJZJNOGCidBcWWMk&sessionId=
软件测试,华为,武汉·江夏区·光谷东,13-26K·14薪,https://www.zhipin.com/job_detail/2f68615b475659601XN-2tu_EVRR.html?lid=4libl3EPBMj.search.8&securityId=VKdGHXo0iM8rh-b1XqAkJ5taBnvZb9gucIzHIELsTKIK9VB_PUxsqxGGHu08exT3494daVbP1HzFUd7p3tqsEoLx4REYEBouxok7wpjRHI-q9g~~&sessionId=
软件测试,景创科技,武汉,8-13K,https://www.zhipin.com/job_detail/3853885b8131a2201X1609q4GFJU.html?lid=4libl3EPBMj.search.9&securityId=lbm7E5k5n15Hh-214Rj2IUGUs7nfik7pZSYBSP1yAs3VSnsZw4sIc2i8Un59UHAC601oHQKcoGi26X3V5ba2zU2pLlvduiMQJMXNoqF77WqzLufEGDAO&sessionId=
软件测试,英志,武汉·洪山区·光谷东,8-12K,https://www.zhipin.com/job_detail/abb09f7dddc824a71HF_3di-EVNX.html?lid=4libl3EPBMj.search.10&securityId=Z7UeMMQOul5B0-K14ALsBdBJIyftzG4jC38L2ENfEbbGbuYqAV7CeC2jfe2pGd9PCRtnwikpEkw3FLt4h21adpUQORKlm1nI1oZ4JA5xnuZhrmBxlQ~~&sessionId=
软件测试,软通动力,武汉·洪山区·花山,7-12K,https://www.zhipin.com/job_detail/246dc7f0fe989c9e1HV72tS0E1FR.html?lid=4libl3EPBMj.search.11&securityId=_1kFnOttwC1bL-f1T79L87zu6a9OY6rOguGqyOVRfILaoDJHSltNI2ADVwntCAk7WagKk7CTe_80lJcIkJBvXjDcv06OSw5fMkk-Vti0dGfSpNgFejo~&sessionId=
软件测试,武汉金策略,武汉·洪山区·鲁巷,6-8K,https://www.zhipin.com/job_detail/3865ba6b8b668cb11XN439i8FVpW.html?lid=4libl3EPBMj.search.12&securityId=tW5Sr3mT7MvEO-x1GLTZq87gH4gDclqJrkQ2I63ZfndUlI-HzP6WM5o078KbGWezpAmwDZWdH3bgR_0JJyL3Odcy1oDAu8VNL5s3w6qtxrP-QDK0jQ~~&sessionId=
